公司代码,公司名,公司评分
002227,奥 特 迅,71.5625
600097,开创国际,71.5
600107,美尔雅,71.5
300270,中威电子,71.5
000810,创维数字,71.4375
000089,深圳机场,71.4375
600990,四创电子,71.4375
000028,国药一致,71.4375
000712,锦龙股份,71.4375
000530,大冷股份,71.4375
000957,中通客车,71.4375
002692,睿康股份,71.375
300099,精准信息,71.375
600376,首开股份,71.375
600743,华远地产,71.375
600688,上海石化,71.375
002565,顺灏股份,71.375
300177,中海达,71.375
300199,翰宇药业,71.3125
000636,风华高科,71.3125
002143,印纪传媒,71.3125
601218,吉鑫科技,71.3125
600208,新湖中宝,71.3125
002124,天邦股份,71.3125
600498,烽火通信,71.3125
002178,延华智能,71.25
600583,海油工程,71.25
300338,开元股份,71.25
300149,量子高科,71.25
300192,科斯伍德,71.1875
000980,众泰汽车,71.1875
600975,新五丰,71.1875
002544,杰赛科技,71.1875
600782,新钢股份,71.1875
600728,佳都科技,71.1875
300218,安利股份,71.125
000936,华西股份,71.125
300058,蓝色光标,71.125
600510,黑牡丹,71.125
000987,越秀金控,71.125
000540,中天金融,71.125
300155,安居宝,71.125
601890,亚星锚链,71.125
000009,中国宝安,71.0625
600468,百利电气,71.0625
600258,首旅酒店,71.0625
002590,万安科技,71.0625
600838,上海九百,71.0625
002688,金河生物,71.0625
000042,中洲控股,71.0625
300252,金信诺,71.0
600527,江南高纤,71.0
600475,华光股份,71.0
300198,纳川股份,71.0
600246,万通地产,71.0
000507,珠海港,70.9375
002148,北纬科技,70.9375
002650,加加食品,70.9375
002443,金洲管道,70.875
002686,亿利达,70.875
300352,北信源,70.875
300093,金刚玻璃,70.8125
600647,同达创业,70.8125
600818,中路股份,70.75
600070,浙江富润,70.75
002228,合兴包装,70.75
600716,凤凰股份,70.75
000900,现代投资,70.6875
300043,星辉娱乐,70.6875
600885,宏发股份,70.6875
600797,浙大网新,70.6875
000756,新华制药,70.6875
300182,捷成股份,70.625
002013,中航机电,70.625
300211,亿通科技,70.625
600067,冠城大通,70.5625
002642,荣之联,70.5625
002531,天顺风能,70.5625
300008,天海防务,70.5625
000903,云内动力,70.5625
002010,传化智联,70.5
600356,恒丰纸业,70.5
002170,芭田股份,70.5
002416,爱施德,70.5
300118,东方日升,70.5
002232,启明信息,70.4375
600536,中国软件,70.4375
600503,华丽家族,70.4375
002189,利达光电,70.4375
002496,辉丰股份,70.375
600363,联创光电,70.375
600561,江西长运,70.375
600280,中央商场,70.375
000630,铜陵有色,70.375
000753,漳州发展,70.375
300289,利德曼,70.3125
002510,天汽模,70.3125
002600,江粉磁材,70.3125
600083,博信股份,70.3125
600841,上柴股份,70.3125
600992,贵绳股份,70.3125
000733,振华科技,70.3125
000851,高鸿股份,70.3125
300201,海伦哲,70.3125
600699,均胜电子,70.3125
000778,新兴铸管,70.3125
002273,水晶光电,70.25
002607,亚夏汽车,70.25
600565,迪马股份,70.25
300255,常山药业,70.25
600171,上海贝岭,70.25
300068,南都电源,70.25
600810,神马股份,70.25
601117,中国化学,70.25
600580,卧龙电气,70.1875
600679,上海凤凰,70.1875
002368,太极股份,70.1875
600530,交大昂立,70.1875
600459,贵研铂业,70.125
002680,长生生物,70.125
600127,金健米业,70.125
601107,四川成渝,70.125
002156,通富微电,70.125
300193,佳士科技,70.0625
002482,广田集团,70.0625
002259,升达林业,70.0
600392,盛和资源,70.0
600219,南山铝业,70.0
002383,合众思壮,70.0
600051,宁波联合,70.0
002589,瑞康医药,70.0
600483,福能股份,69.9375
600839,四川长虹,69.9375
600089,特变电工,69.875
600857,宁波中百,69.875
600335,国机汽车,69.875
600663,陆家嘴,69.875
603002,宏昌电子,69.8125
300153,科泰电源,69.8125
002354,天神娱乐,69.8125
000570,苏常柴Ａ,69.8125
002546,新联电子,69.8125
000967,盈峰环境,69.8125
002586,围海股份,69.8125
600267,海正药业,69.75
002203,海亮股份,69.75
000551,创元科技,69.75
600105,永鼎股份,69.75
002222,福晶科技,69.75
002110,三钢闽光,69.75
002251,步 步 高,69.75
600206,有研新材,69.6875
600388,龙净环保,69.6875
000801,四川九洲,69.6875
600869,智慧能源,69.6875
002512,达华智能,69.6875
600175,美都能源,69.6875
300339,润和软件,69.625
002336,人人乐,69.625
000806,银河生物,69.625
601717,郑煤机,69.625
600657,信达地产,69.625
002301,齐心集团,69.625
000018,神州长城,69.5625
000965,天保基建,69.5625
000060,中金岭南,69.5625
002414,高德红外,69.5625
601699,潞安环能,69.5625
002456,欧菲科技,69.5625
002632,道明光学,69.5625
600135,乐凯胶片,69.5625
000533,万 家 乐,69.5
300136,信维通信,69.5
600340,华夏幸福,69.5
002344,海宁皮城,69.5
600759,洲际油气,69.5
600582,天地科技,69.5
600203,福日电子,69.5
300126,锐奇股份,69.4375
600143,金发科技,69.4375
300061,康旗股份,69.4375
600668,尖峰集团,69.4375
000059,华锦股份,69.4375
300107,建新股份,69.375
002481,双塔食品,69.3125
000790,泰合健康,69.3125
002161,远 望 谷,69.3125
000716,黑芝麻,69.3125
300308,中际旭创,69.3125
300020,银江股份,69.3125
002675,东诚药业,69.25
600775,南京熊猫,69.25
300273,和佳股份,69.25
300021,大禹节水,69.1875
002009,天奇股份,69.1875
600711,盛屯矿业,69.1875
002479,富春环保,69.125
600371,万向德农,69.125
000999,华润三九,69.125
000586,汇源通信,69.0625
300354,东华测试,69.0625
600897,厦门空港,69.0625
